Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1828.050865616567
FDW14,OUT017,1431.4329712264062
NCN55,OUT010,687.4237692024328
FDQ58,OUT017,2745.540937654011
FDY38,OUT027,6027.329220207301
FDH56,OUT046,1966.9152621983962
FDL48,OUT018,794.9091422973607
FDC48,OUT027,2366.5529866407114
FDN33,OUT045,1529.8223386296586
FDA36,OUT017,3029.36554250733
FDT44,OUT017,1990.889625032375
FDQ56,OUT045,1403.8743354416824
NCC54,OUT019,655.6913966333069
FDU11,OUT049,2046.8543185854337
DRL59,OUT013,793.1079284206357
FDM24,OUT049,2773.4990883298697
FDI57,OUT045,3456.699438727429
DRC12,OUT018,3158.4047042842335
NCM42,OUT027,2826.7905661023224
FDA46,OUT010,501.3240777454231
FDA31,OUT013,3010.453377588295
NCJ31,OUT035,4022.0497917368193
FDG52,OUT046,759.0051229791078
NCL19,OUT019,337.4906866143485
FDS10,OUT035,3216.809384680768
FDX22,OUT010,550.9554896418786
NCF19,OUT035,771.5863302692478
NCE06,OUT046,2762.5223227303095
DRC27,OUT046,4043.128348939083
FDE21,OUT035,1889.7397739333705
NCR42,OUT019,53.77415833984428
FDX51,OUT018,3100.7559559818933
NCR06,OUT018,702.8975768409651
FDU31,OUT027,5771.734082649579
FDU59,OUT017,2793.623281502262
FDR03,OUT027,5569.420652833965
FDS49,OUT027,2596.2503832530115
FDD48,OUT010,261.4585634538804
NCF18,OUT017,3236.1445759457124
NCD43,OUT027,2656.065303313469
NCD54,OUT018,2251.0067236614696
FDY19,OUT010,230.2573367281604
NCY54,OUT017,2974.105860961028
NCL19,OUT018,2474.340241884196
FDP23,OUT010,598.9985753258867
FDC26,OUT013,1813.6600944071733
FDR14,OUT010,164.59011333536
NCS41,OUT035,3045.8236932987493
FDF41,OUT035,4097.96196437055
FDU34,OUT046,1969.0247498463214
DRH11,OUT046,840.8126494887126
FDM03,OUT013,1721.0286373136132
FDS31,OUT017,3058.8251473730247
FDJ20,OUT017,2003.3113616111186
FDV44,OUT027,5147.322613450594
FDG02,OUT049,2937.6856463087724
FDA09,OUT013,3067.9012270032126
FDT04,OUT013,675.647696494111
FDL58,OUT019,476.58242854173346
FDE52,OUT045,1578.2609450231246
FDW12,OUT035,2617.3902476303656
FDL51,OUT017,3676.286580834386
NCY42,OUT027,3839.712090695658
FDR07,OUT017,1668.6193060365035
FDN40,OUT045,2687.307668568007
FDB35,OUT027,2629.1156096209315
FDA22,OUT017,2906.2881523526257
NCL06,OUT046,4209.598201345795
FDI35,OUT013,3158.428184647333
NCW42,OUT045,3959.5180198093612
NCX06,OUT049,3067.2750121298222
FDC37,OUT027,2662.149027615115
FDZ14,OUT018,1972.6487388816163
DRG49,OUT049,4148.548539351235
NCG06,OUT045,3942.9406722821277
DRC36,OUT045,2929.782342300342
FDV21,OUT019,331.8448450258938
FDB53,OUT046,2500.6767413556
DRP47,OUT019,746.1603455625213
FDA14,OUT013,2585.814648456902
DRC24,OUT035,2651.824212552909
FDW21,OUT018,1819.0830253368306
NCH29,OUT046,1625.2838586998266
FDU58,OUT013,3099.3398705272703
FDY27,OUT017,2953.8672132131223
FDV56,OUT035,1767.6770372619767
FDT59,OUT046,4001.9751315464987
FDB23,OUT046,3856.564900433631
FDR49,OUT045,728.7982288875965
FDB03,OUT010,615.3875595239728
FDN39,OUT045,2724.0231106427514
FDX02,OUT027,5692.9469584822045
FDQ16,OUT027,2726.2889783440687
FDU35,OUT018,1689.4071214239734
NCT29,OUT013,2038.010407573468
FDZ27,OUT046,723.0644796230766
FDN57,OUT017,2289.3926367098748
FDA03,OUT018,2540.7125972335016
FDZ36,OUT045,3093.8417738893977
NCU05,OUT013,1408.9792974623247
FDT39,OUT018,2599.440328966182
FDK60,OUT017,1570.426204920078
FDZ25,OUT017,2804.516485416109
FDG12,OUT046,1997.361419547474
DRB01,OUT019,444.10791306133694
