Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1714.0622918058828
FDW14,OUT017,1417.8094766678323
NCN55,OUT010,591.9871951763206
FDQ58,OUT017,2416.252743769604
FDY38,OUT027,5840.403948380861
FDH56,OUT046,2012.0536243099787
FDL48,OUT018,677.2952380421104
FDC48,OUT027,2355.9014941116234
FDN33,OUT045,1531.783067129431
FDA36,OUT017,3069.375301717543
FDT44,OUT017,1964.8936095903514
FDQ56,OUT045,1483.7530022338528
NCC54,OUT019,585.3118734981722
FDU11,OUT049,2015.1852266498838
DRL59,OUT013,726.5603265703123
FDM24,OUT049,2392.8737256000504
FDI57,OUT045,2939.1846033676165
DRC12,OUT018,2880.5413863106037
NCM42,OUT027,2906.2918549740098
FDA46,OUT010,491.5098166279908
FDA31,OUT013,2983.485209598663
NCJ31,OUT035,3811.6048955166807
FDG52,OUT046,781.3378801409613
NCL19,OUT019,335.3885875659549
FDS10,OUT035,3071.768822542281
FDX22,OUT010,540.0272964754655
NCF19,OUT035,725.4896683347539
NCE06,OUT046,2402.472065635525
DRC27,OUT046,3726.9404533714423
FDE21,OUT035,1931.1887519233849
NCR42,OUT019,106.88170150635298
FDX51,OUT018,2755.6876518529084
NCR06,OUT018,533.1654200762899
FDU31,OUT027,5614.694677181952
FDU59,OUT017,2414.9877230510015
FDR03,OUT027,5323.321062061469
FDS49,OUT027,2329.5055405099724
FDD48,OUT010,246.08886802069554
NCF18,OUT017,3217.418861986045
NCD43,OUT027,2756.0420188380062
NCD54,OUT018,1999.9790488924261
FDY19,OUT010,267.7741911982984
NCY54,OUT017,2666.454704539497
NCL19,OUT018,2022.678502348918
FDP23,OUT010,573.466453915652
FDC26,OUT013,1835.3004880138233
FDR14,OUT010,167.4688049948107
NCS41,OUT035,3207.437519690367
FDF41,OUT035,4014.653571689333
FDU34,OUT046,2098.196054853603
DRH11,OUT046,908.8099462762543
FDM03,OUT013,1742.9444531650254
FDS31,OUT017,3155.048838400689
FDJ20,OUT017,2051.1392182679924
FDV44,OUT027,4978.012376118907
FDG02,OUT049,3308.799994729414
FDA09,OUT013,3075.472582394979
FDT04,OUT013,610.1745917216648
FDL58,OUT019,624.323357473609
FDE52,OUT045,1405.7378588977285
FDW12,OUT035,2466.2383254180704
FDL51,OUT017,3968.8482689495145
NCY42,OUT027,3634.784998159114
FDR07,OUT017,1588.6277642313598
FDN40,OUT045,2278.557467651969
FDB35,OUT027,2500.8369246815387
FDA22,OUT017,2461.908204810393
NCL06,OUT046,3944.040696049151
FDI35,OUT013,3278.653548196978
NCW42,OUT045,3632.5679991844004
NCX06,OUT049,3125.9342663158536
FDC37,OUT027,2852.435689091243
FDZ14,OUT018,1707.0144576025382
DRG49,OUT049,4164.139187420733
NCG06,OUT045,4050.9419954005307
DRC36,OUT045,2866.0367769320314
FDV21,OUT019,304.30043390198085
FDB53,OUT046,2429.4807124417844
DRP47,OUT019,626.3327956429443
FDA14,OUT013,2485.695650976761
DRC24,OUT035,2581.8683510829874
FDW21,OUT018,1383.5833176773224
NCH29,OUT046,1575.5373941234686
FDU58,OUT013,2914.6797962876776
FDY27,OUT017,2952.6261661615367
FDV56,OUT035,1820.5450891742723
FDT59,OUT046,3687.0763761213298
FDB23,OUT046,3631.5134963905452
FDR49,OUT045,769.9208562330448
FDB03,OUT010,579.6681325516861
FDN39,OUT045,2775.6905937708
FDX02,OUT027,5680.733495549036
FDQ16,OUT027,2833.3739264841233
FDU35,OUT018,1386.438461299304
NCT29,OUT013,1958.4928548993869
FDZ27,OUT046,809.5888639680538
FDN57,OUT017,2200.3028542207016
FDA03,OUT018,2019.084924457872
FDZ36,OUT045,3257.575830136328
NCU05,OUT013,1291.8407207574671
FDT39,OUT018,2201.2570063585868
FDK60,OUT017,1581.7620070323474
FDZ25,OUT017,2991.099524376803
FDG12,OUT046,2148.0425493650605
DRB01,OUT019,469.6000744876383
NCC43,OUT027,6098.456903930087
FDX13,OUT019,583.7152473490128
FDM22,OUT049,874.0243064808782
FDJ03,OUT027,1468.5603221890813
FDU14,OUT018,3438.7099976353975
FDB33,OUT010,378.231216536732
FDP27,OUT046,3220.0200724444558
FDO38,OUT010,197.26573207955138
FDE28,OUT027,5816.3889691005215
FDO27,OUT035,1567.4782091937218
DRL23,OUT027,2840.061743071644
FDS28,OUT046,901.7915048517045
FDX24,OUT013,1372.6837787586642
FDZ02,OUT035,1606.522991856533
FDL46,OUT045,1855.9850392000544
FDS60,OUT027,5017.850400021178
NCO06,OUT017,601.003562482488
FDO16,OUT035,1483.1946213452857
FDC60,OUT049,1343.7558713242847
FDA48,OUT018,3295.73395842155
