Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
,,1475.9195528783
FDW14,OUT017,601.7227728658908
NCN55,OUT010,2475.337154231253
FDQ58,OUT017,5756.834423718587
FDY38,OUT027,2053.157026402841
FDH56,OUT046,674.4468754905268
FDL48,OUT018,2268.6851893354196
FDC48,OUT027,1518.5346182988762
FDN33,OUT045,3127.1605463040323
FDA36,OUT017,1843.267838142545
FDT44,OUT017,1499.0407133027643
FDQ56,OUT045,619.5859829378186
NCC54,OUT019,2109.702001746095
FDU11,OUT049,770.9468937632271
DRL59,OUT013,2318.765509780115
FDM24,OUT049,2856.062106182051
FDI57,OUT045,2793.572944040412
DRC12,OUT018,3053.7652899976874
NCM42,OUT027,462.0999318601595
FDA46,OUT010,2990.6948530063273
FDA31,OUT013,3672.8558490040987
NCJ31,OUT035,806.7961713298359
FDG52,OUT046,369.05942775317834
NCL19,OUT019,3148.188069649377
FDS10,OUT035,569.3778382681131
FDX22,OUT010,725.4752640411319
NCF19,OUT035,2412.1942140889955
NCE06,OUT046,3676.4696869193695
DRC27,OUT046,1926.8510124345623
FDE21,OUT035,106.18585497888793
NCR42,OUT019,2740.78413797141
FDX51,OUT018,596.0194859792898
NCR06,OUT018,5710.191979173928
FDU31,OUT027,2376.843596078514
FDU59,OUT017,5347.252589882783
FDR03,OUT027,2305.8142795890235
FDS49,OUT027,259.39493516099765
FDD48,OUT010,3302.541270787431
NCF18,OUT017,2887.7945429761917
NCD43,OUT027,1972.6088427569148
NCD54,OUT018,268.1734728123538
FDY19,OUT010,2580.1314059641563
NCY54,OUT017,2045.4672621833931
NCL19,OUT018,624.9059523346269
FDP23,OUT010,1889.2706386154655
FDC26,OUT013,168.17189446640919
FDR14,OUT010,3209.3967064746817
NCS41,OUT035,3890.7778242338627
FDF41,OUT035,2055.917960141654
FDU34,OUT046,1015.0479886242545
DRH11,OUT046,1734.9043073868856
FDM03,OUT013,3234.0563665310065
FDS31,OUT017,2076.078424564365
FDJ20,OUT017,4846.645106297886
FDV44,OUT027,3355.8381318993984
FDG02,OUT049,2943.699579458916
FDA09,OUT013,596.2357788955312
FDT04,OUT013,871.203985584743
FDL58,OUT019,1467.8934516270092
FDE52,OUT045,2450.4724979030793
FDW12,OUT035,4068.3663385975433
FDL51,OUT017,3749.3349432892924
NCY42,OUT027,1614.5484603676728
FDR07,OUT017,2298.6474959003
FDN40,OUT045,2544.5296261005556
FDB35,OUT027,2448.4693399295306
FDA22,OUT017,3840.325708518254
NCL06,OUT046,3473.046248130323
FDI35,OUT013,3591.873392276339
NCW42,OUT045,3190.74454691861
NCX06,OUT049,3013.6915536414103
FDC37,OUT027,1606.3422807587674
FDZ14,OUT018,3972.42548986208
DRG49,OUT049,3758.2070296686243
NCG06,OUT045,2994.5519609621797
DRC36,OUT045,298.20803947256536
FDV21,OUT019,2349.084592991239
FDB53,OUT046,601.9589963611895
DRP47,OUT019,2461.762372825855
FDA14,OUT013,2596.0619478313147
DRC24,OUT035,1394.6755098620636
FDW21,OUT018,1721.4994423253822
NCH29,OUT046,2868.4751809838444
FDU58,OUT013,3009.575004168518
FDY27,OUT017,1873.1931789728644
FDV56,OUT035,3440.507275377514
FDT59,OUT046,3611.6543207876507
FDB23,OUT046,770.9750692571272
FDR49,OUT045,568.3442025308469
FDB03,OUT010,2924.1885592378267
FDN39,OUT045,5505.306470585163
FDX02,OUT027,3006.844802822209
FDQ16,OUT027,1429.6708352597996
FDU35,OUT018,2018.5846320221012
NCT29,OUT013,889.8131910252197
FDZ27,OUT046,2296.542305561812
FDN57,OUT017,2053.9368017523543
FDA03,OUT018,3210.718463142437
FDZ36,OUT045,1306.220316310776
NCU05,OUT013,2335.801887522815
FDT39,OUT018,1572.6637595597192
FDK60,OUT017,2983.9082238488245
FDZ25,OUT017,2162.236260006663
FDG12,OUT046,477.969910514309
DRB01,OUT019,6041.674745455871
NCC43,OUT027,605.9787352949517
FDX13,OUT019,874.105759195547
FDM22,OUT049,1438.204527264873
FDJ03,OUT027,3519.930787692394
FDU14,OUT018,421.1172553087701
FDB33,OUT010,3071.7186846915342
FDP27,OUT046,171.47257784057277
FDO38,OUT010,5632.931022748787
FDE28,OUT027,1496.1489790506662
FDO27,OUT035,2944.3882908079327
DRL23,OUT027,967.8181661658045
FDS28,OUT046,1389.4172095369631
FDX24,OUT013,1635.936086946191
FDZ02,OUT035,1834.6452546715407
FDL46,OUT045,4869.5358281751605
FDS60,OUT027,649.3159959501786
NCO06,OUT017,1539.485279274909
FDO16,OUT035,1299.783460233476
FDC60,OUT049,3365.140966552191
FDA48,OUT018,5088.805275916946
FDZ36,OUT027,1854.2418744631182
FDK27,OUT045,571.7400739440097
FDW23,OUT018,1487.5816493335785
FDM14,OUT018,1632.764918142458
FDM14,OUT013,2607.307400014806
FDW60,OUT018,1810.6652672636692
FDE21,OUT013,1724.3576284619182
NCM42,OUT035,205.43394255103857
FDY59,OUT010,1279.2266760905773
DRI49,OUT049,317.88876016842295
FDT28,OUT019,547.0160373880661
FDQ22,OUT018,1203.5227784287765
FDR60,OUT049,247.40857752908175
FDC50,OUT019,2441.29997991554
FDV24,OUT013,426.73603437599195
DRF48,OUT010,759.832042717608
FDQ47,OUT046,1506.8627638233418
DRN36,OUT049,2035.875429246288
NCY06,OUT035,1514.30001487187
FDE52,OUT035,1830.9656579750842
NCB54,OUT045,2479.5515941824237
NCF31,OUT035,5095.5224103233995
FDJ08,OUT027,1643.499176455003
NCC07,OUT017,1528.8498503758613
NCD19,OUT027,2071.2623555383184
FDL46,OUT049,3900.9071503086643
FDM20,OUT045,418.14819472884614
NCI06,OUT010,4366.944245587192
DRM11,OUT035,2151.006500540317
NCH07,OUT018,2056.435651942082
FDS23,OUT013,677.6274124522096
FDO49,OUT018,1004.7529192497069
FDS35,OUT049,1389.437501768688
DRK39,OUT045,912.0956100587938
DRI39,OUT049,2458.656588441165
FDV04,OUT017,3064.4730279629994
NCN14,OUT035,4057.0709315490967
FDH08,OUT013,2866.3597436905256
FDS20,OUT046,1250.4428628569106
FDV40,OUT049,247.84659450342818
FDZ48,OUT010,2504.13612899672
FDS24,OUT027,2870.9026011888222
FDK44,OUT049,2452.5383531280113
FDS48,OUT045,461.3774359674894
FDK26,OUT010,3227.652694952407
FDD23,OUT045,2569.7054566073375
NCH54,OUT017,219.0988646421269
NCP14,OUT010,125.76345742607582
FDM60,OUT010,2439.9864532947336
FDV24,OUT017,3147.193059844597
FDH08,OUT018,3413.2527111889635
FDS12,OUT027,4895.231247997926
FDR39,OUT027,1222.3079997599552
FDP12,OUT027,5866.8039106924
DRF60,OUT027,1726.2273599678485
FDC09,OUT035,3003.563657912864
FDF50,OUT018,4225.717698027324
FDG28,OUT035,887.2064548372623
NCE19,OUT017,234.29733358309903
NCM53,OUT010,1761.2653905301863
NCN18,OUT049,3361.923177970109
FDF32,OUT035,4019.4742307802017
FDF11,OUT013,3898.763552359397
DRI59,OUT049,2857.3630768717503
NCG54,OUT035,1681.6383981982838
FDM44,OUT046,3282.4203527259147
FDT57,OUT018,2294.669709618675
FDV24,OUT046,539.0726190816226
FDI50,OUT019,807.5212123719114
FDS09,OUT035,3963.574427777648
NCC31,OUT027,543.8265569537095
FDQ07,OUT019,3248.63982334495
FDC22,OUT017,2569.2953972139603
FDZ56,OUT046,149.59876608038013
FDZ40,OUT019,3138.185578796403
FDS46,OUT027,2192.137779398892
DRD24,OUT045,3302.2814886669653
FDV45,OUT017,2736.6840846408986
FDL26,OUT045,1737.8311855032132
FDA56,OUT018,2041.9926069457879
FDN27,OUT046,3908.876422120372
FDM20,OUT049,1498.424590740339
FDO16,OUT017,3175.6326886488614
FDL03,OUT035,2014.0080274330496
FDE58,OUT046,3068.5022361092033
FDI02,OUT027,105.81693279998223
NCC55,OUT019,2728.684409607072
FDR03,OUT018,1510.2301205558924
FDB14,OUT017,4301.876364328837
FDR45,OUT013,2171.6737695272477
NCN07,OUT017,275.02975013366034
FDM51,OUT019,6275.761430742674
FDT52,OUT027,2401.19369742207
FDL26,OUT046,3669.558657108236
NCZ42,OUT046,356.3491078768953
DRI47,OUT019,2383.9694660003197
FDW40,OUT013,2888.8224638197867
FDN34,OUT046,3177.6940632534997
FDS01,OUT035,1873.7233511345146
NCG55,OUT045,1437.412266262213
FDC11,OUT035,3012.79957851797
FDX35,OUT018,2513.7494210786485
NCB06,OUT046,641.0481850750654
FDR09,OUT019,1663.5847950699413
FDC53,OUT017,4021.5465454770297
FDY45,OUT013,411.6544720745169
FDA22,OUT010,1535.9043904966902
FDE02,OUT035,1683.8262623042438
FDW21,OUT045,1339.4615777474244
FDV34,OUT046,1793.54494521119
FDS59,OUT049,2195.076583701525
NCW17,OUT017,2069.695698948677
NCK54,OUT046,596.9591552767876
FDG17,OUT019,2972.1373952434064
FDG35,OUT017,129.50570083708217
FDD08,OUT010,3659.1497069079514
NCO07,OUT017,340.86540043283793
FDJ10,OUT010,1719.1231125962229
FDW36,OUT017,235.19785137664886
FDW21,OUT010,1951.4375927450822
FDY19,OUT017,745.1146825329149
DRE03,OUT013,738.9518706533252
NCC55,OUT049,160.68723361600124
FDH52,OUT010,4021.1950092022926
FDO09,OUT017,3743.9670895428253
FDU43,OUT045,422.9742942863455
FDX09,OUT010,245.54834853912064
FDH40,OUT019,1658.3413432457376
FDW58,OUT017,3613.567270233374
FDC47,OUT017,1524.1515690352383
NCR41,OUT035,4026.8949150328285
DRG49,OUT035,4184.373899767507
FDC52,OUT027,1234.1263261170634
FDY13,OUT046,780.6081251903696
FDY35,OUT013,3362.4146716257337
FDI35,OUT017,2331.925933188535
NCU18,OUT049,2310.3788099337476
FDY33,OUT018,3749.8417804633104
FDC15,OUT027,3201.9773113847305
FDU01,OUT049,2672.0262099667716
NCU42,OUT046,2555.4562143761195
NCV29,OUT018,3198.863733151023
NCY30,OUT017,1787.1942250133577
FDQ46,OUT049,4035.207287945364
FDG58,OUT027,3788.777518334956
FDK33,OUT017,1713.7156402300284
NCD07,OUT045,3715.1055694826296
NCX29,OUT027,2401.733389647201
NCT42,OUT013,724.6261986310194
DRN59,OUT035,1349.5843186966067
FDI44,OUT035,2903.141523990891
FDA45,OUT049,1088.2945242490227
FDP31,OUT045,1795.9071525620686
FDY01,OUT046,1753.1116738091368
FDT09,OUT018,2595.7966793398873
DRH03,OUT027,2642.3910657744236
FDA36,OUT018,2421.1830046456384
NCF31,OUT017,2389.518609833765
FDG14,OUT049,6282.842894071583
FDG28,OUT027,3819.630012110378
FDU14,OUT049,309.90188993313626
FDY47,OUT019,1394.976096842454
FDI56,OUT049,800.4642269541976
DRD01,OUT013,956.5020244014843
FDM22,OUT046,649.1803859166034
FDH33,OUT013,1858.8359352587283
DRZ24,OUT013,1709.95700896668
NCQ38,OUT046,2410.7021374461415
FDO16,OUT027,3700.2008246321475
FDU07,OUT027,3128.830758722314
NCB07,OUT013,2048.0579688218813
FDU48,OUT045,2890.2211426141857
NCM43,OUT045,338.65937838964334
FDR31,OUT010,540.0380267719022
DRK49,OUT018,599.0333516805383
NCI30,OUT010,3332.7375925313104
DRD60,OUT017,3367.342948449941
NCG19,OUT046,1688.3152988170007
FDH12,OUT035,1488.8265067834668
FDM32,OUT035,2559.7728137559757
FDM27,OUT035,4402.841014254139
NCU53,OUT027,1602.7356619797729
NCQ18,OUT046,3260.741257148394
FDS10,OUT013,4139.028522262887
FDB33,OUT027,1374.795822954623
FDI12,OUT013,3741.5474846009097
NCW42,OUT013,1798.0608405758476
NCC06,OUT018,2205.255387707159
FDW02,OUT017,1646.519776409489
NCD43,OUT017,1208.2096259123502
FDM57,OUT018,3507.3647381160913
FDA58,OUT017,2847.645629541078
FDK56,OUT046,3720.879799175621
FDP52,OUT045,1763.8154349115982
FDW20,OUT018,1672.5791171554667
FDS52,OUT049,1629.177556885442
NCT29,OUT018,3104.3732529623644
NCL54,OUT013,2980.8916093869407
FDC05,OUT045,3196.2037177616467
FDF34,OUT035,3393.1567256083176
FDP03,OUT027,179.03867363095
FDD32,OUT010,1836.3027050435155
FDZ10,OUT045,861.0229147615485
FDZ40,OUT035,566.8374901961529
FDD51,OUT018,480.560960111702
NCY30,OUT019,3565.780977427727
FDP58,OUT017,4213.9832611160255
FDV49,OUT017,146.0479881660399
FDY24,OUT019,1751.6799212099202
NCO55,OUT017,1937.9631275627596
FDR13,OUT017,1055.1348433343464
FDS51,OUT017,1567.0927193316977
FDP26,OUT045,3593.378330055484
NCB54,OUT027,3357.4505811502286
FDF32,OUT017,2748.95057950126
FDN31,OUT018,676.0428302304205
DRM48,OUT017,2797.268277693925
FDN20,OUT049,3823.873353407442
