Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1683.4497093436103
FDW14,OUT017,1426.1752404237088
NCN55,OUT010,657.4008207818274
FDQ58,OUT017,2607.3213288711268
FDY38,OUT027,6076.867865590792
FDH56,OUT046,1883.1616301638742
FDL48,OUT018,665.5695413797624
FDC48,OUT027,2162.7871922549457
FDN33,OUT045,1500.0164745808606
FDA36,OUT017,3103.2414359266827
FDT44,OUT017,1986.6618822792668
FDQ56,OUT045,1336.4345775534125
NCC54,OUT019,658.7129601108372
FDU11,OUT049,2132.828399394613
DRL59,OUT013,813.5519587867807
FDM24,OUT049,2450.0858685634716
FDI57,OUT045,3430.6572493807503
DRC12,OUT018,2759.7158500706314
NCM42,OUT027,2888.0123660763516
FDA46,OUT010,603.3507855883134
FDA31,OUT013,2909.0485208087516
NCJ31,OUT035,3893.9075966240916
FDG52,OUT046,768.2801118921693
NCL19,OUT019,374.2488749348327
FDS10,OUT035,3125.082708195783
FDX22,OUT010,613.8485043934086
NCF19,OUT035,767.1284495370975
NCE06,OUT046,2523.2505897605106
DRC27,OUT046,3902.631620468345
FDE21,OUT035,2006.3224289804116
NCR42,OUT019,102.05674988994718
FDX51,OUT018,2803.244709592757
NCR06,OUT018,493.35083476717875
FDU31,OUT027,6048.75925145864
FDU59,OUT017,2623.646422925113
FDR03,OUT027,5171.313104299723
FDS49,OUT027,2201.3130613622448
FDD48,OUT010,292.78798409416356
NCF18,OUT017,3174.2254980053217
NCD43,OUT027,2702.80446189253
NCD54,OUT018,1797.2519318520483
FDY19,OUT010,291.93422323118244
NCY54,OUT017,2863.9893247969517
NCL19,OUT018,2017.6518178022588
FDP23,OUT010,556.5083445352935
FDC26,OUT013,1769.0077010931343
FDR14,OUT010,160.59389239086502
NCS41,OUT035,3109.4384285573888
FDF41,OUT035,4131.7232347488325
FDU34,OUT046,1980.2289813775756
DRH11,OUT046,890.6717826097599
FDM03,OUT013,1688.8346921648374
FDS31,OUT017,3114.7399163654272
FDJ20,OUT017,2002.9697716842463
FDV44,OUT027,5316.498380575315
FDG02,OUT049,3051.7128290676483
FDA09,OUT013,3035.4144079595662
FDT04,OUT013,580.7804242476487
FDL58,OUT019,496.4899899174813
FDE52,OUT045,1403.4488575641706
FDW12,OUT035,2422.885847724344
FDL51,OUT017,3549.106475669953
NCY42,OUT027,3709.6923793490587
FDR07,OUT017,1516.471135199502
FDN40,OUT045,2351.1415138444577
FDB35,OUT027,2444.286096760976
FDA22,OUT017,2784.2684912897485
NCL06,OUT046,4132.38605769038
FDI35,OUT013,3002.386607055026
NCW42,OUT045,3495.167195197746
NCX06,OUT049,3100.9986188388716
FDC37,OUT027,2782.4503380649676
FDZ14,OUT018,1708.0693701127645
DRG49,OUT049,4023.968512982227
NCG06,OUT045,3968.4255755061577
DRC36,OUT045,2840.239153086384
FDV21,OUT019,382.96703023807464
FDB53,OUT046,2430.8075207215747
DRP47,OUT019,639.9720351564831
FDA14,OUT013,2222.145913999108
DRC24,OUT035,2550.7000203155126
FDW21,OUT018,1445.4082874129163
NCH29,OUT046,1666.139831463502
FDU58,OUT013,3091.8785483800534
FDY27,OUT017,2965.617290276003
FDV56,OUT035,1848.9552092366234
FDT59,OUT046,3839.6497498417425
FDB23,OUT046,3562.0843874702646
FDR49,OUT045,722.7979936055604
FDB03,OUT010,604.4208352586703
FDN39,OUT045,2652.4786055053423
FDX02,OUT027,5811.648791304032
FDQ16,OUT027,2802.5069797201245
FDU35,OUT018,1393.5698411879405
NCT29,OUT013,1867.9386645065385
FDZ27,OUT046,754.8485710613282
FDN57,OUT017,2293.6155967224095
FDA03,OUT018,2031.6893611771923
FDZ36,OUT045,3095.747691530869
NCU05,OUT013,1196.4286997919517
FDT39,OUT018,2092.958548687634
FDK60,OUT017,1578.509797863573
FDZ25,OUT017,2877.4059975759014
FDG12,OUT046,2011.7255581450192
DRB01,OUT019,555.0224319643497
NCC43,OUT027,6356.916086178068
FDX13,OUT019,683.3134160032959
FDM22,OUT049,882.908388756205
FDJ03,OUT027,1347.219477361833
FDU14,OUT018,3512.8424381738578
FDB33,OUT010,423.9086935184077
FDP27,OUT046,3073.478378803059
FDO38,OUT010,214.06248414960217
FDE28,OUT027,6016.796904140933
FDO27,OUT035,1548.165110620675
DRL23,OUT027,2774.049511719205
FDS28,OUT046,871.0149751196944
FDX24,OUT013,1466.1010254693
FDZ02,OUT035,1567.0923488884341
FDL46,OUT045,1756.1811961853368
FDS60,OUT027,4725.592894634787
NCO06,OUT017,506.7993211150059
FDO16,OUT035,1437.5554614469486
FDC60,OUT049,1570.8303691683557
FDA48,OUT018,3222.3266442095864
FDZ36,OUT027,5003.285144505632
FDK27,OUT045,1918.6669963454156
FDW23,OUT018,493.2060401213883
FDM14,OUT018,1527.4995468814411
FDM14,OUT013,1706.1134346215736
FDW60,OUT018,2657.495300279193
FDE21,OUT013,1937.3472398956735
NCM42,OUT035,1816.5405234941154
FDY59,OUT010,216.40902393158896
DRI49,OUT049,1314.2569480304687
FDT28,OUT019,398.43272596809726
FDQ22,OUT018,473.0349675713648
FDR60,OUT049,1230.4110080002192
FDC50,OUT019,251.19350314485715
FDV24,OUT013,2407.560963613254
DRF48,OUT010,482.1422651636059
FDQ47,OUT046,585.9981244509054
DRN36,OUT049,1559.9731992904603
NCY06,OUT035,2152.4704048430867
FDE52,OUT035,1460.6061393829173
NCB54,OUT045,1997.7137460928293
NCF31,OUT035,2534.856884782216
FDJ08,OUT027,5336.739724605485
NCC07,OUT017,1771.6469122435183
NCD19,OUT027,1473.6052664700262
FDL46,OUT049,1877.9826251393179
FDM20,OUT045,3913.8822519795463
NCI06,OUT010,537.189931376471
DRM11,OUT035,4276.184165762051
NCH07,OUT018,2294.8427398252265
FDS23,OUT013,2060.2520428636026
FDO49,OUT018,631.0001413505895
FDS35,OUT049,1051.1351304429722
DRK39,OUT045,1288.5760686178353
DRI39,OUT049,947.3872900487772
FDV04,OUT017,2610.3415269077605
NCN14,OUT035,3032.956317011849
FDH08,OUT013,3876.2067094723548
FDS20,OUT046,3004.0160669154047
FDV40,OUT049,1211.0966514330069
FDZ48,OUT010,252.7811890491971
FDS24,OUT027,2362.023827824875
FDK44,OUT049,2949.2301781237543
FDS48,OUT045,2394.871986791017
FDK26,OUT010,552.3425078598955
FDD23,OUT045,3119.796455151874
NCH54,OUT017,2697.4505111639924
NCP14,OUT010,292.98070094991687
FDM60,OUT010,97.97850481972792
FDV24,OUT017,2456.1577725793104
FDH08,OUT018,3265.1853018608163
FDS12,OUT027,3426.3372979457154
FDR39,OUT027,4846.800047821239
FDP12,OUT027,881.7569188923793
DRF60,OUT027,6024.593680807949
FDC09,OUT035,1741.8644340031597
FDF50,OUT018,2885.8196433390826
FDG28,OUT035,4053.024874976051
NCE19,OUT017,888.1071182591398
