Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1621.873009283178
FDW14,OUT017,1471.803997217516
NCN55,OUT010,589.239233893582
FDQ58,OUT017,2444.519203865052
FDY38,OUT027,5798.748441956967
FDH56,OUT046,1991.0980255373534
FDL48,OUT018,652.3726995537645
FDC48,OUT027,2261.3252823487487
FDN33,OUT045,1500.370565468716
FDA36,OUT017,3120.4676578987624
FDT44,OUT017,1941.0693879329947
FDQ56,OUT045,1517.7031480574833
NCC54,OUT019,610.0789443476147
FDU11,OUT049,2073.554716447832
DRL59,OUT013,707.3029716542311
FDM24,OUT049,2341.7267445014027
FDI57,OUT045,2773.2344013977827
DRC12,OUT018,2803.706337004035
NCM42,OUT027,2953.914150307917
FDA46,OUT010,513.1128478356112
FDA31,OUT013,2944.6748729805136
NCJ31,OUT035,4009.3761695896283
FDG52,OUT046,769.6903818848457
NCL19,OUT019,354.61650012101387
FDS10,OUT035,3053.2295101753034
FDX22,OUT010,528.6188813531427
NCF19,OUT035,750.4591217844434
NCE06,OUT046,2404.956551497558
DRC27,OUT046,3776.4820467507698
FDE21,OUT035,1924.2174366451507
NCR42,OUT019,109.02737141450709
FDX51,OUT018,2770.099658152126
NCR06,OUT018,493.2697037346368
FDU31,OUT027,5565.58842393976
FDU59,OUT017,2494.0218741552703
FDR03,OUT027,5377.769052093284
FDS49,OUT027,2256.051627940018
FDD48,OUT010,263.29304347729425
NCF18,OUT017,3146.285134529055
NCD43,OUT027,2801.874979935566
NCD54,OUT018,2070.548890285078
FDY19,OUT010,280.90625969726494
NCY54,OUT017,2561.2036237594125
NCL19,OUT018,2115.8210738278226
FDP23,OUT010,551.8103018183065
FDC26,OUT013,1807.4504177086387
FDR14,OUT010,145.54846864089595
NCS41,OUT035,3139.328021676969
FDF41,OUT035,4138.922177381723
FDU34,OUT046,2124.938865448925
DRH11,OUT046,912.1663709144449
FDM03,OUT013,1628.863011776696
FDS31,OUT017,3103.76890610842
FDJ20,OUT017,2001.000261396099
FDV44,OUT027,4989.921912783121
FDG02,OUT049,3373.118135954888
FDA09,OUT013,3063.4853797557334
FDT04,OUT013,603.0812628941479
FDL58,OUT019,621.3322202035295
FDE52,OUT045,1439.1703792816052
FDW12,OUT035,2471.3703811156847
FDL51,OUT017,3967.8485909181763
NCY42,OUT027,3645.211529196141
FDR07,OUT017,1562.1230793225616
FDN40,OUT045,2427.399316958031
FDB35,OUT027,2588.7276145288897
