Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
9.3,0,0.12667794204201455,249.8092,14,1,0,1,3735.138
5.92,1,0.13884601542716304,48.2692,4,1,2,2,443.4228
17.5,0,0.12946070832495857,141.618,14,1,0,1,2097.27
19.2,1,0.25716148385586685,182.095,15,2,2,0,732.38
8.93,0,0.25716148385586685,53.8614,26,0,2,1,994.7052
10.395,1,0.25716148385586685,51.4008,4,1,2,2,556.6088
13.65,1,0.11287643243830839,57.6588,26,0,2,1,343.5528
12.857645184136183,0,0.3570292102895784,107.7622,28,1,2,3,4022.7636
16.2,1,0.1291786127809089,96.9726,11,2,1,1,1076.5986
19.2,1,0.3073265201703231,187.8214,6,2,1,1,4710.535
11.8,0,0.25716148385586685,45.5402,14,1,0,1,1516.0266
18.5,1,0.2132223557697457,144.1102,16,2,0,1,2187.153
15.1,1,0.31624911067068634,145.4786,14,1,0,1,1589.2646
17.6,1,0.21738750654073938,119.6782,16,2,0,1,2145.2076
16.35,0,0.2608146851693746,196.4426,26,0,2,1,1977.4260000000002
9.0,1,0.262847790555675,56.3614,16,2,0,1,1547.3192
11.8,0,0.09271489092912745,115.3492,4,1,2,2,1621.8888
9.0,1,0.26305204047868547,54.3614,14,1,0,1,718.3982
12.857645184136183,0,0.18503427250106938,113.2834,28,1,2,3,2303.6679999999997
13.35,0,0.32014390514267177,230.5352,9,2,1,1,2748.4224
18.85,1,0.3717395284335525,250.8724,26,0,2,1,3775.086
12.857645184136183,1,0.1881486725969652,144.5444,28,1,2,3,4064.0432
14.6,0,0.16030637541907058,196.5084,9,2,1,1,1587.2672
12.857645184136183,0,0.2399103957730886,107.6938,28,2,0,0,214.3876
13.85,1,0.16092384845012875,165.021,16,2,0,1,4078.025
13.0,0,0.31604920977594614,45.906000000000006,6,2,1,1,838.908
7.645,1,0.2582507250715862,42.3112,9,2,1,1,1065.28
11.65,0,0.13912631670535952,39.1164,26,0,2,1,308.9312
5.925,1,0.40182898601270667,45.5086,15,2,2,0,178.4344
12.857645184136183,1,0.2687411412493443,43.6454,28,2,0,0,125.8362
19.25,0,0.41273302630150643,55.7956,15,2,2,0,163.7868
18.6,0,0.28430506854433674,96.4436,4,1,2,2,2741.7644
18.7,0,0.25716148385586685,256.6672,4,1,2,2,3068.0064
17.85,0,0.25716148385586685,93.1436,11,2,1,1,2174.5028
17.5,0,0.31289619524692214,174.8738,16,2,0,1,2085.2856
10.0,0,0.2988162261323839,146.7102,14,1,0,1,3791.0652
12.857645184136183,1,0.24395042939089082,128.0678,28,1,2,3,2797.6916
8.85,1,0.336338955519577,122.5388,4,1,2,2,1609.9044
12.857645184136183,1,0.3508724169837236,36.9874,28,1,2,3,388.1614
12.857645184136183,0,0.16272969612212762,87.6198,28,1,2,3,2180.495
13.35,0,0.3201741775971323,230.6352,16,2,0,1,3435.528
9.8,0,0.1637633353348667,126.00200000000001,26,0,2,1,2150.534
13.6,0,0.34324677420188526,192.9136,14,1,0,1,2527.3768
21.35,0,0.2628741733225232,259.9278,4,1,2,2,6768.5228
12.15,1,0.2056158238074103,126.5046,26,0,2,1,373.5138
6.42,0,0.2991637110346106,178.1002,15,2,2,0,358.2004
19.6,0,0.25716148385586685,153.3024,11,2,1,1,2428.8384
10.0,0,0.16087130570738836,265.2226,11,2,1,1,5815.0972
15.85,1,0.3487588292789159,60.622,16,2,0,1,2576.646
12.857645184136183,1,0.505366100960482,196.8794,28,2,0,0,780.3176
7.39,0,0.2603453706137292,143.8812,16,2,0,1,3134.5864
10.195,0,0.3997547410600655,141.5154,26,0,2,1,850.8924
9.895,1,0.16940168830327518,117.0492,26,0,2,1,810.9444
10.895,0,0.25503250969239194,196.3794,6,2,1,1,3121.2704
12.15,0,0.16958777373383965,151.4708,6,2,1,1,4815.0656
7.905,0,0.10026517341529909,249.0408,4,1,2,2,6258.52
9.195,0,0.21944780244969417,106.1622,11,2,1,1,2117.244
8.365,0,0.2682502506988577,38.0506,14,1,0,1,796.9626
15.1,0,0.41651086900583995,194.511,16,2,0,1,4910.275
