Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1608.6589717237132
FDW14,OUT017,1402.0001222093222
NCN55,OUT010,588.8731141642401
FDQ58,OUT017,2542.6910594042215
FDY38,OUT027,6084.946614450441
FDH56,OUT046,1854.6517943139643
FDL48,OUT018,587.7607031031209
FDC48,OUT027,2257.391581953289
FDN33,OUT045,1503.9987928019707
FDA36,OUT017,3070.2277524587703
FDT44,OUT017,1928.1866569513459
FDQ56,OUT045,1315.7123035656793
NCC54,OUT019,581.8260504700797
FDU11,OUT049,2102.437041217993
DRL59,OUT013,864.5086296895656
FDM24,OUT049,2479.142839792122
FDI57,OUT045,3153.8255509792116
DRC12,OUT018,2877.061017529816
NCM42,OUT027,2966.4857541088627
FDA46,OUT010,523.227753920393
FDA31,OUT013,2858.326602484471
NCJ31,OUT035,3867.156249789475
FDG52,OUT046,765.0279915337048
NCL19,OUT019,333.9528475761891
FDS10,OUT035,3112.340237104136
FDX22,OUT010,602.6390079904847
NCF19,OUT035,846.8253961846966
NCE06,OUT046,2536.0193998908067
DRC27,OUT046,3887.1505360467045
FDE21,OUT035,1988.1349238009311
NCR42,OUT019,5.497972766650274
FDX51,OUT018,2826.707021124266
NCR06,OUT018,469.827407279188
FDU31,OUT027,5656.594072466877
FDU59,OUT017,2590.3890818818527
FDR03,OUT027,5307.690249037752
FDS49,OUT027,2233.074604256815
FDD48,OUT010,357.0776334187316
NCF18,OUT017,3143.6052358614234
NCD43,OUT027,2674.498046587004
NCD54,OUT018,1981.6165019599032
FDY19,OUT010,327.05615993626793
NCY54,OUT017,2897.0312072934053
NCL19,OUT018,2170.7953158232876
FDP23,OUT010,545.346920876252
FDC26,OUT013,1828.883915611651
FDR14,OUT010,141.44689152552428
NCS41,OUT035,3229.904382608806
FDF41,OUT035,3971.3795643180274
FDU34,OUT046,1971.6203498715258
DRH11,OUT046,859.265205240974
FDM03,OUT013,1658.060697294413
FDS31,OUT017,3142.9883943278846
FDJ20,OUT017,2050.979816663821
FDV44,OUT027,5224.030296208485
FDG02,OUT049,2987.4643513776696
FDA09,OUT013,2981.0793988080673
FDT04,OUT013,666.828129246739
FDL58,OUT019,417.14129335668605
FDE52,OUT045,1382.4487804261487
FDW12,OUT035,2543.2668059292528
FDL51,OUT017,3557.3102657511495
NCY42,OUT027,3431.754807653605
FDR07,OUT017,1521.8526099438739
FDN40,OUT045,2383.5430729336213
FDB35,OUT027,2517.452346549573
FDA22,OUT017,2776.547476034803
NCL06,OUT046,4022.288987639102
FDI35,OUT013,3111.6322957098423
NCW42,OUT045,3617.5256872617642
NCX06,OUT049,3022.919937800493
FDC37,OUT027,2665.0684965938817
FDZ14,OUT018,1782.225191790986
DRG49,OUT049,3990.8681955278357
NCG06,OUT045,3607.495209070835
DRC36,OUT045,2843.1447420409986
FDV21,OUT019,330.52712907703426
FDB53,OUT046,2445.3637573712786
DRP47,OUT019,646.8883012226397
FDA14,OUT013,2472.0745465014425
DRC24,OUT035,2561.2361564986645
FDW21,OUT018,1481.8576628392336
NCH29,OUT046,1574.6534314628775
FDU58,OUT013,3164.305566211908
FDY27,OUT017,2934.4171793269734
FDV56,OUT035,1808.9504498250603
FDT59,OUT046,3979.376211046273
FDB23,OUT046,3389.888116060109
FDR49,OUT045,755.1808905210789
FDB03,OUT010,559.1148556719663
FDN39,OUT045,2574.517689821329
FDX02,OUT027,5780.7298914632
FDQ16,OUT027,2687.113267721804
FDU35,OUT018,1348.43590473122
NCT29,OUT013,2041.0844374347134
FDZ27,OUT046,753.5663640722697
FDN57,OUT017,2186.7034918709855
FDA03,OUT018,2142.9231935589355
FDZ36,OUT045,3140.2824262731565
NCU05,OUT013,1295.2824476930157
FDT39,OUT018,2129.7413220183344
FDK60,OUT017,1552.1110150329018
FDZ25,OUT017,2849.2641987860306
FDG12,OUT046,2044.6538073056772
DRB01,OUT019,506.5994613602579
NCC43,OUT027,6198.302215304613
FDX13,OUT019,627.7441999984673
FDM22,OUT049,904.1868226720082
FDJ03,OUT027,1340.5562816236322
FDU14,OUT018,3577.1290391834723
FDB33,OUT010,407.4510671099333
FDP27,OUT046,3117.85177821962
FDO38,OUT010,225.74389223466
FDE28,OUT027,5950.905156684788
FDO27,OUT035,1550.2742412235643
DRL23,OUT027,2666.4298422811353
FDS28,OUT046,864.552201375422
FDX24,OUT013,1478.9696323620574
FDZ02,OUT035,1586.1674730840223
FDL46,OUT045,1776.433062520448
FDS60,OUT027,4843.397338107211
NCO06,OUT017,652.5404511314291
FDO16,OUT035,1454.5762466416018
FDC60,OUT049,1460.918240802164
FDA48,OUT018,3288.88308584562
FDZ36,OUT027,5165.534615183782
FDK27,OUT045,2008.5082753809706
FDW23,OUT018,501.21097822980124
FDM14,OUT018,1561.29879865001
FDM14,OUT013,1668.0268951512508
FDW60,OUT018,2585.0944798177256
FDE21,OUT013,1912.3556916795228
NCM42,OUT035,1771.6304780144199
FDY59,OUT010,276.31659185473393
DRI49,OUT049,1365.3171627596628
FDT28,OUT019,348.14073832571023
FDQ22,OUT018,483.5222127101868
FDR60,OUT049,1313.9583710976772
FDC50,OUT019,280.9070980171634
FDV24,OUT013,2439.3056274771143
DRF48,OUT010,466.26021761033917
FDQ47,OUT046,646.9527751230997
DRN36,OUT049,1549.3734637967084
NCY06,OUT035,2146.7414598869027
FDE52,OUT035,1469.322528173952
NCB54,OUT045,2017.0353693624634
NCF31,OUT035,2512.4813075666475
FDJ08,OUT027,5209.423433461192
NCC07,OUT017,1714.2843750735349
NCD19,OUT027,1538.699587226561
FDL46,OUT049,1881.4500353453432
FDM20,OUT045,3965.901937089615
NCI06,OUT010,441.9335174652905
DRM11,OUT035,4215.497230217246
NCH07,OUT018,2341.9013023509274
FDS23,OUT013,2058.38563468225
FDO49,OUT018,566.578492386768
FDS35,OUT049,1136.2556135144832
DRK39,OUT045,1303.568305314098
DRI39,OUT049,930.4959615010633
FDV04,OUT017,2617.4684174060963
NCN14,OUT035,3187.3661409562696
FDH08,OUT013,4013.2980089409016
FDS20,OUT046,3136.538315204762
FDV40,OUT049,1186.7053482639612
FDZ48,OUT010,307.5451575537426
FDS24,OUT027,2326.120783468571
FDK44,OUT049,2919.9608795158447
FDS48,OUT045,2437.3353912740886
FDK26,OUT010,487.95832995660555
FDD23,OUT045,3222.7565793169547
NCH54,OUT017,2705.340622591737
NCP14,OUT010,321.19984387704585
FDM60,OUT010,60.38670153757494
FDV24,OUT017,2452.0497751898342
FDH08,OUT018,3387.5609873206604
FDS12,OUT027,3230.4700860031703
FDR39,OUT027,5004.349837891431
FDP12,OUT027,1038.851874262704
DRF60,OUT027,5989.729837525808
FDC09,OUT035,1744.2123085703056
FDF50,OUT018,2908.588028674795
FDG28,OUT035,4019.240781785471
NCE19,OUT017,916.2472674409094
NCM53,OUT010,310.0938285207056
NCN18,OUT049,1780.1146580266918
FDF32,OUT035,3281.282598871384
FDF11,OUT013,4092.2219556953683
DRI59,OUT049,3824.716860238836
NCG54,OUT035,2792.9909280499364
FDM44,OUT046,1647.1938675202903
FDT57,OUT018,3532.1836757991023
FDV24,OUT046,2413.8721290407984
FDI50,OUT019,634.4464341273175
FDS09,OUT035,826.4018949464602
NCC31,OUT027,3843.767178347805
FDQ07,OUT019,525.7622911473613
FDC22,OUT017,3204.3823789734056
FDZ56,OUT046,2754.7626256959347
FDZ40,OUT019,161.69924851901484
FDS46,OUT027,3040.420926262835
DRD24,OUT045,2157.6169475392367
FDV45,OUT017,3295.590571935163
FDL26,OUT045,2427.957861794564
FDA56,OUT018,1802.1600174591679
FDN27,OUT046,1705.7254055854667
FDM20,OUT049,4055.9840419064412
FDO16,OUT017,1457.955749031707
FDL03,OUT035,3258.2066081582993
FDE58,OUT046,1815.2614521624512
FDI02,OUT027,3019.584458875769
NCC55,OUT019,42.22114386815227
FDR03,OUT018,3107.287018903342
FDB14,OUT017,1490.3246053084195
FDR45,OUT013,4015.0455060272748
NCN07,OUT017,2127.70089507563
FDM51,OUT019,332.0574627595087
FDT52,OUT027,6052.7486560139205
FDL26,OUT046,2436.552048815199
NCZ42,OUT046,4034.0005964987195
DRI47,OUT019,372.8640047691674
FDW40,OUT013,2195.876934116738
FDN34,OUT046,2750.605072091937
FDS01,OUT035,2991.4235467224576
NCG55,OUT045,1874.2260346520095
FDC11,OUT035,1416.636745250008
FDX35,OUT018,3365.3263722468073
NCB06,OUT046,2595.0869785088216
FDR09,OUT019,832.5329794302113
FDC53,OUT017,1592.1748899164986
FDY45,OUT013,4381.672327958046
FDA22,OUT010,455.0293231555237
FDE02,OUT035,1559.3520358627256
FDW21,OUT045,1689.6872573434641
FDV34,OUT046,1112.0402782874426
FDS59,OUT049,1754.3713963122054
NCW17,OUT017,2167.5132411350214
NCK54,OUT046,1870.5054019634983
FDG17,OUT019,653.4114177877101
FDG35,OUT017,2922.248318413869
FDD08,OUT010,-6.897556410504528
NCO07,OUT017,3592.8726677504824
FDJ10,OUT010,325.2896766762216
FDW36,OUT017,1689.533404970078
FDW21,OUT010,355.34645796227585
FDY19,OUT017,1958.0379713173963
DRE03,OUT013,767.8066598521758
NCC55,OUT049,661.5694075928361
FDH52,OUT010,153.25989928665564
FDO09,OUT017,4257.379749113354
FDU43,OUT045,3804.001690584853
FDX09,OUT010,421.0627118014509
FDH40,OUT019,232.31095525440034
FDW58,OUT017,1684.1229685382386
FDC47,OUT017,3893.0115877528815
NCR41,OUT035,1611.7676301721692
DRG49,OUT035,4033.7812786282593
FDC52,OUT027,3685.2338615851645
FDY13,OUT046,1145.0439404481633
FDY35,OUT013,706.8748369096397
FDI35,OUT017,3301.661766170774
NCU18,OUT049,2232.939445876295
FDY33,OUT018,2376.4181641289133
FDC15,OUT027,3978.735317872241
FDU01,OUT049,3148.235772329548
NCU42,OUT046,2754.972726571882
NCV29,OUT018,2517.8735934097595
NCY30,OUT017,3244.629347176659
FDQ46,OUT049,1864.1683360914915
FDG58,OUT027,3842.4323032982898
FDK33,OUT017,3509.3602123576225
NCD07,OUT045,1824.4586602377603
NCX29,OUT027,3808.1684998266664
NCT42,OUT013,2444.835385461761
DRN59,OUT035,829.0035245435776
